id,featured,format_name,lang,verified,views,shares,likes
492,1,open letter,en,Not Verified,4,1,31
493,0,poem,en,Not Verified,1,3,1
494,0,140,en,Not Verified,1,1,5
495,1,short story,en,Verified,2,2,60
496,0,poem,en,Not Verified,9,6,3
497,0,thought,en,Not Verified,3,1,3
498,0,open letter,en,Not Verified,8,2,2
499,0,musing,en,Not Verified,5,3,1
500,0,thought,en,Verified,1,2,12
501,0,page,en,Not Verified,13,6,3
502,0,140,en,Not Verified,2,1,3
503,0,140,en,Not Verified,6,2,6
504,0,open letter,en,Not Verified,3,7,2
505,0,thought,en,Not Verified,3,1,3
506,0,thought,en,Not Verified,24,2,8
507,0,musing,en,Not Verified,1,14,3
508,1,poem,en,Verified,4,2,31
509,4,140,en,Not Verified,547,5,32
510,0,poem,en,Not Verified,3,3,4
511,0,musing,en,Verified,2,1,5
512,0,open letter,en,Not Verified,1,1,3
513,1,poem,en,Verified,2,2,141
514,0,open letter,en,Not Verified,4,1,2
515,1,short story,en,Not Verified,1,2,99
516,0,short story,en,Not Verified,23,2,1
517,1,thought,en,Verified,5,1,119
518,0,musing,en,Not Verified,27,4,5
519,4,140,en,Not Verified,57,8,12
520,0,open letter,en,Not Verified,11,8,2
521,0,open letter,en,Not Verified,4,1,2
522,0,musing,en,Not Verified,2,1,1
523,0,140,en,Not Verified,1,2,2
524,0,140,en,Not Verified,14,2,4
525,0,open letter,en,Verified,15,2,8
526,0,140,en,Not Verified,2,1,2
527,0,poem,en,Not Verified,5,4,1
528,0,140,en,Not Verified,5,4,9
529,1,poem,en,Not Verified,6,2,86
530,0,short story,en,Verified,6,3,5
531,0,musing,en,Not Verified,2,3,2
532,0,open letter,en,Not Verified,23,9,4
533,0,open letter,en,Not Verified,4,2,1
534,0,140,en,Not Verified,5,1,8
535,0,short story,en,Not Verified,4,1,2
536,0,musing,en,Not Verified,1,1,2
537,0,short story,en,Not Verified,8,2,9
538,0,140,en,Not Verified,1,1,4
539,0,page,en,Not Verified,5,2,6
540,0,short story,en,Not Verified,2,2,11
541,1,musing,en,Verified,1,2,63
542,0,140,en,Not Verified,11,1,2
543,0,thought,en,Not Verified,1,2,7
544,0,140,en,Verified,2,1,1
545,0,thought,en,Not Verified,2,1,2
546,2,page,en,Verified,4,2,72
547,0,open letter,en,Not Verified,4,3,57
548,0,open letter,en,Verified,3,1,4
549,0,140,en,Not Verified,1,1,3
550,0,140,en,Not Verified,24,2,3
551,0,musing,en,Not Verified,2,2,5
552,0,poem,en,Not Verified,7,1,1
553,0,140,en,Not Verified,5,2,3
554,0,diary,en,Not Verified,4,1,1
555,0,140,en,Not Verified,1,2,14
556,0,poem,en,Not Verified,4,1,6
557,0,thought,en,Verified,6,12,19
558,0,poem,en,Not Verified,1,2,9
559,0,thought,en,Not Verified,1,3,5
560,0,open letter,en,Not Verified,1,1,6
561,0,diary,en,Not Verified,12,4,7
562,1,poem,en,Not Verified,3,1,24
563,0,poem,en,Not Verified,4,1,3
564,0,musing,en,Verified,5,1,3
565,0,rant,en,Not Verified,3,1,4
566,0,page,en,Not Verified,5,2,11
567,0,140,en,Not Verified,1,1,4
568,0,140,en,Not Verified,1,1,3
569,0,140,en,Not Verified,3,3,9
570,0,musing,en,Not Verified,4,3,1
571,0,diary,en,Not Verified,2,1,3
572,0,thought,en,Not Verified,1,2,1
573,0,140,en,Not Verified,1,1,1
574,0,open letter,en,Not Verified,6,2,3
575,1,musing,en,Verified,4,1,46
576,0,short story,en,Not Verified,1,2,5
577,1,bubble,en,Verified,9,5,160
578,1,short story,en,Verified,3,2,20
579,1,bubble,en,Verified,24,5,150
580,1,open letter,en,Verified,3,1,59
581,0,poem,en,Not Verified,1,3,1
582,1,open letter,en,Verified,8,1,43
583,1,open letter,en,Verified,6,2,51
584,0,musing,en,Not Verified,1,1,3
585,0,musing,en,Not Verified,3,1,2
